Disease,Description
Fungal infection,"A disease caused by fungi that can affect the skin, nails, or mucous membranes, often presenting with itching and rashes."
Allergy,"An immune system response to a foreign substance, causing symptoms like sneezing, itching, or skin rashes."
GERD,"Gastroesophageal reflux disease, where stomach acid flows back into the esophagus, causing heartburn and irritation."
Chronic cholestasis,"A condition where bile cannot flow from the liver to the duodenum, leading to symptoms like jaundice and itching."
Malaria,"An infectious disease caused by Plasmodium parasites, transmitted by Anopheles mosquitoes, causing fever and chills."
Migraine,"A neurological condition characterized by intense, debilitating headaches, often accompanied by nausea and sensitivity to light."
AIDS,"Acquired Immunodeficiency Syndrome, caused by HIV, weakening the immune system and leading to opportunistic infections."
Hypertension,"A condition with persistently high blood pressure, which can lead to heart disease and stroke if untreated."
Hepatitis B,"A viral infection affecting the liver, potentially causing chronic disease and increasing the risk of liver cancer."
Hepatitis C,"A viral infection causing liver inflammation, often asymptomatic initially but can lead to chronic liver disease."
Hepatitis D,"A viral infection that occurs only in those infected with Hepatitis B, leading to severe liver complications."
Hepatitis E,"A viral infection causing acute liver inflammation, typically self-limiting but severe in pregnant women."
Jaundice,"A condition characterized by yellowing of the skin and eyes due to high bilirubin levels, often linked to liver issues."
Hepatitis A,"A viral liver infection, typically spread through contaminated food or water, causing acute but self-limiting illness."
Diabetes,"A chronic condition affecting blood sugar regulation, leading to symptoms like fatigue, thirst, and weight loss."
Typhoid,"A bacterial infection caused by Salmonella typhi, leading to high fever, abdominal pain, and systemic symptoms."
Hypoglycemia,"A condition where blood sugar levels drop below normal, causing symptoms like shakiness and confusion."
Common Cold,"A viral infection of the upper respiratory tract, causing symptoms like sneezing, runny nose, and sore throat."
Pneumonia,"An infection inflaming the air sacs in the lungs, causing cough, fever, and difficulty breathing."
Hemorrhoids,"Swollen veins in the lower rectum or anus, causing discomfort, bleeding, and itching."
Heart attack,"A medical emergency where blood flow to the heart is blocked, causing chest pain and potential heart damage."
Varicose veins,"Enlarged, twisted veins, often in the legs, causing discomfort and cosmetic concerns."
Hypothyroidism,"A condition where the thyroid gland produces insufficient hormones, leading to fatigue and weight gain."
Hyperthyroidism,"A condition where the thyroid gland produces excessive hormones, causing weight loss and rapid heart rate."
Arthritis,"Inflammation of joints, causing pain, stiffness, and reduced mobility."
Bronchial Asthma,"A chronic respiratory condition causing airway inflammation, leading to wheezing and breathlessness."
Peptic ulcer disease,"A condition where sores develop in the stomach lining or small intestine, causing pain and indigestion."
Tuberculosis,"A bacterial infection primarily affecting the lungs, causing cough, weight loss, and night sweats."
Chicken pox,"A viral infection caused by varicella-zoster virus, leading to itchy rashes and fever."
Cervical spondylosis,"A degenerative condition affecting the cervical spine, causing neck pain and stiffness."
Paralysis (brain hemorrhage),"A condition caused by bleeding in the brain, leading to loss of movement or sensation in parts of the body."
Dengue,"A mosquito-borne viral infection causing high fever, joint pain, and potentially severe complications."
Impetigo,"A bacterial skin infection causing red sores and yellow crusts, often affecting children."
Alcoholic hepatitis,"Liver inflammation caused by excessive alcohol consumption, leading to jaundice and abdominal pain."
Gastroenteritis,"Inflammation of the stomach and intestines, causing diarrhea, vomiting, and abdominal pain."
Acne,"A skin condition involving clogged pores, leading to pimples, blackheads, and inflammation."
Psoriasis,"A chronic autoimmune condition causing rapid skin cell buildup, leading to scaly patches."
Urinary tract infection,"An infection in the urinary system, causing pain during urination and frequent urination."
Paroxysmal Positional Vertigo,"A disorder causing brief episodes of dizziness triggered by head position changes."
Osteoarthristis,"A degenerative joint disease causing cartilage breakdown, leading to pain and stiffness."
Drug Reaction,"An adverse reaction to medication, causing symptoms like rashes, itching, or systemic effects."